"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"FXYD2",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"FYN",675.05,769.62,706.04,627.93,653.04,471.1,659.57,406.64,429.31,520.36,713.67,734.57,507.22,483.52,589,735.5,736.18,503.4,413.42,583.87,321.89,845.68,421.73,458.4,798.7,1093.91,571.13,1113.8,784.89,503.25,1097.93,876.01,507.39,328.46,550.34,336.06,296.74,539.57,633.66,670.85,700.11,480.91,586.91,1085.91,728.3,577.4,662.26,504.5,646.4,941.16,664.97,545.1,342.46,396.02,735.01,654.28,261.88,502.87,260.1,444.79,395.35,345.81,458.59,596.4,748.84,502.13,377.12,327.62,407.19,588.06,585.79
"GATA3",26.06,40.04,47.14,31.12,25.38,20,50.53,45.02,20,35.68,20,28.3,31.52,20,25.01,20,82.66,51.4,20,20,41.47,90.61,57.05,45.06,77.52,43.29,20,102.78,76.43,41.3,103.3,90.01,44.12,20,47.37,44.94,20,82.11,72.21,20,31.08,20,66.56,65.56,26.77,20.03,20,31.03,46.67,43.87,20,20,20,20,20,20.81,20,22.47,20,20,20,20,20,20,30.31,20,20,20,20,21.11,32.71
"GBP1",951.32,489.36,352.46,274.51,271.14,8846.14,6413.52,9421.79,11341.18,6718.6,14401.37,12862.68,5936.21,19641.96,12776.6,12175.58,16044.57,10739.73,15363.31,16829.51,6170.3,4453.34,5480.21,4473.32,4066.11,1760.64,6275.6,308.34,901.68,140.73,303.51,257.18,164.87,14960.25,11881.77,15999.92,12870.96,15673.22,10092.85,2060.11,7194.97,5400.39,4458.23,939.67,4407.11,3435.66,530.42,1682.44,2100.2,366.89,751.45,241.79,2005.66,205.58,292.56,999.97,382,807.8,703.38,639.38,659.57,4945.96,987.73,1061.36,2309.74,1887.3,574.02,180.49,471.49,1563.69,602.15
"GFI1",57.34,74.52,53.88,23.34,33.46,42.65,69.15,79.53,20,20,59.77,56.6,64.48,20,25.01,56.58,174.69,118.76,20,47.29,71.09,151.01,89.49,61.71,161.9,61.33,38.35,215.03,116.79,74.95,211.18,153.5,84.76,93.85,144.9,50.8,85.31,105.57,160.62,64.71,53.29,42.79,103.09,105.9,53.53,52.25,63.65,31.03,43.17,89.73,48.05,48.78,21.75,20,20,45.25,43.32,47.08,20,35.11,27.61,20,48.84,43.81,72.24,40.93,48.39,41.2,42.86,55.64,49.07
"GNAQ",363.59,313.63,289.6,499.01,443.05,310.19,279.25,340.62,391.98,541.18,329.94,255.86,310.92,377.84,435.18,387.04,254.23,423.63,497.59,361.84,367.31,221.83,317.69,257.61,261,106.79,351.99,262.41,316.88,448.18,213,249.14,406.38,322.94,197.84,310.66,281.9,229.9,204.83,198.87,301.95,279.82,170.47,158.01,131.71,283.91,266.72,241.33,271.86,237.28,217.17,375.42,220.36,274.95,274.5,237.1,437.13,250.36,335.81,359.93,330.28,382.21,275.42,366.03,223.81,280.18,330.4,315.85,366.59,283.96,335.32
"GNAS",2180.22,1532.58,3304.59,1710.43,1947.59,2328.34,1851.05,4507.57,1907.62,2249.45,1888.78,1563.47,3670.91,1650.34,2080.87,1620.15,1157.29,2151.85,1319.47,1698.17,1408.04,1213.32,813.25,1044.13,1098.95,956.09,1279.22,1521.27,2399.34,4175.87,1518.45,1580.84,2519.54,1807.93,1199.6,1590.42,1190.66,1065.06,1125.85,1356.92,990.22,1664.36,1458.75,1359.91,1010.74,951.88,2039.83,2037.55,1761.84,1467.57,1410.65,2265.23,2418.3,3327.11,2105.71,1895.87,4038.53,2908.07,3717.15,6428.96,4787.53,3665.11,3811.17,4618.53,1610.56,3160.72,3767.85,2960.36,3924.17,2751.33,2256.27
"GNB1",1165.05,1390.22,1055.13,1231.42,1104.17,1147.69,1155.58,1147.9,1108.73,1416.87,1450.06,1529.28,1011.58,1195.77,1435.6,1477.43,1336.66,1038.7,940.71,1229.42,848.18,1025.85,771.86,791.43,1013.58,1186.27,1506.58,1007.37,772.01,870.36,942.52,925.03,860.36,888.78,1096.5,1111.73,1097.93,1309.03,1027.12,1133.3,1312.89,1465.83,935.97,1158.2,1307.98,1204.44,1066.9,991.77,1067.6,1252.22,955.17,1204.73,877.92,1085.91,1036.6,1047.03,856.54,721.13,628.89,817.89,606.33,805.37,777.43,1014.72,959.76,755.55,804.3,837.69,759.12,916.15,701.31
"GNGT1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,57.96,20,20,20,20,20,20,20,20,20,52.11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"GNLY",46.91,40.04,172.86,187.82,35.77,58.16,41.22,109.54,93.33,37.17,49.01,35.37,121.79,107.13,33.76,207.02,81.1,517.58,376.28,119.24,2614.65,6820.6,7523.96,2701.43,18457.44,10325.73,3284.35,350.61,32.63,56.6,20,137.43,20,20,459.78,128.95,85.31,129.03,212.2,512.89,1990.79,1662.64,2511.61,2566.86,6289.84,10251.23,303.1,3597.02,5633.21,299.1,3163.39,91.2,974.76,322.87,54.18,803.6,47.26,1189.76,168.52,20,318.45,20,276.78,144.15,35.47,149.54,33.37,223.65,108.28,27.82,179.93
"GP1BB",329.71,190.18,309.81,303.41,333.44,517.62,402.92,580.7,440.51,624.43,443.51,281.8,426.98,286.64,696.54,353.6,514.7,801.18,396.09,832.64,629.96,472.83,477.66,729.72,318.89,176.79,346.51,434.44,717.91,847.41,305.34,337.55,833.66,905.34,470.92,1074.61,511.87,300.28,383.14,619.46,525.45,1407.64,1290.71,561.45,450.78,274.33,928.99,888.34,826.08,723.81,811.03,1242.91,367.73,1268.79,740.43,746.58,336.71,171.19,151.42,140.46,166.62,300.31,270,480.51,159.96,272.31,655.79,374.7,418.47,235.03,323.05
"GPI",476.96,895.3,704.92,412.32,496.13,443.95,644.94,468.16,319.18,498.06,536.75,689.77,475.7,383.63,438.93,608.2,1021.6,583.16,448.08,608.54,552.95,1496.6,732.71,735.6,1409.01,1308.94,949.15,922.82,773.73,374.76,1053.13,978.88,503.91,474.75,731.46,455.24,537.84,666.25,979.96,892.56,707.51,616.11,1180.31,1227.12,1126.25,812.54,868.37,630.92,973.09,1084.72,1035.88,727.51,465.98,513.32,679.03,772.83,521.8,552.08,387.1,457.96,485.06,320.78,335.12,563.89,892.68,494.26,430.52,345.28,602.33,576.55,556.14
"GPR183",285.4,316.97,315.42,320.08,344.98,195.81,219.41,214.57,160.52,267.61,218.76,207.52,276.54,209.91,233.85,136.3,177.81,166.62,143.58,180.92,189.58,220.79,153.25,115.58,128.54,116.9,157.51,325.83,341.78,279.92,351.96,368.09,268.21,160.09,163.01,134.81,103.86,274.47,165.05,206.49,122.85,149.75,143.68,381.58,238.77,80.12,250.05,253.97,207.69,303.08,211.41,263,211.23,136.21,249.22,235.29,149.65,239.66,250.33,181.43,183.38,187.69,199.45,236.01,208.98,190.46,230.28,211.87,261.69,267.65,343.5
"GRB2",345.34,477.12,325.52,408.99,350.75,395.49,486.7,450.16,517.04,444.54,502.08,551.81,366.8,532.74,525.22,551.62,637.91,650.52,727.81,723.67,519.38,591.56,633.15,516.19,743.75,435.11,554.7,463.6,431.95,371.7,475.37,485.42,419.15,516.16,730.07,707.29,741.84,764.78,776.6,393.94,571.34,511.71,616.13,472.36,586.72,516.44,289.46,339.02,366.37,372.87,284.44,343.6,258.25,326.66,366.6,348.41,330.8,268.55,252.78,251.66,244.5,315.09,282.21,354.73,427.63,266.02,293.69,215.8,336.13,343.44,273.98
"GTF3C1",44.31,46.71,49.39,43.34,53.07,46.53,45.21,61.52,59.73,38.66,43.04,41.27,42.98,36.19,47.52,33.43,68.63,39,20,69.9,42.46,66.65,44.75,35.26,38.27,43.29,36.98,49.57,47.23,55.07,71.31,53.85,49.93,20,36.22,39.08,20,53.96,41.26,43.77,32.56,41.07,52.76,38.66,35.92,28.74,43.95,20,24.5,47.86,20,20,33.69,25.22,36.12,27.15,49.23,48.15,36.63,55.6,38.45,43.23,50.2,59.36,37.41,50.37,36.71,20,53.01,39.33,41.92
"GZMA",285.4,213.54,367.05,144.48,103.84,162.85,114.36,178.56,41.06,38.66,302.44,143.85,398.33,91.2,51.27,491.19,249.55,492.76,165.86,164.47,4604.27,8176.6,4287.74,3652.51,7160.83,10234.81,3585.66,149.43,94.46,99.43,487.26,119.75,98.69,149.05,163.01,130.91,137.24,412.89,117.89,1155.19,1786.53,1066.21,2380.1,3106.45,2861.07,5672.97,525.87,1367.56,1747.83,996.99,632.29,182.41,318.6,126.12,236.58,162.89,137.83,1057.09,307.73,276.53,264.22,154.7,270,216.23,609.52,80.28,195.23,139.29,244.77,591.9,126.77
"GZMB",5968.58,5457.44,7372.46,2506.18,2500.25,4939.72,5035.87,6486.76,1538.04,1559.6,8366.83,6074.67,8008.09,2579.74,1736.98,10460.28,8618.87,9463.51,2678.55,2016.83,11918.97,24725.59,13397.94,10504.03,21779.79,30528.36,13901.63,8588.92,4300.6,2274.55,8214.8,6444.7,2319.84,3072.1,7773.03,2868.22,3686.95,7220.8,9277.93,9700.13,13931.1,5193.3,10138.98,16013.03,14990.66,21305.42,7848.66,6247.09,10184.81,12619.88,10316.57,4509.26,2613.4,2712.89,5096.32,6956.36,2014.34,6745.92,3253.12,4913.17,4469.08,3568.42,3729.76,4638.31,8513.33,4311.35,4009.81,2881.88,4515.22,8153.26,4336.7
"GZMH",4172.79,3976.02,3893.89,1441.47,1502.23,2944.83,3211.42,3199.12,757.82,900.97,5117.64,4313.11,4815.74,1272.5,1159.24,5602.39,5613.34,3819.79,982.8,1038.22,2798.31,8190.14,3331.31,2788.6,5272.01,6644.25,3258.32,5681.24,2498.09,1563.28,4673.28,3864.89,1839.15,1680.96,4326.09,1572.83,1639.47,3096.64,5023.58,4857.68,6009.38,2023.75,3124.49,6801.25,5666.49,4012.18,4316.08,2351.28,3450.16,6675.84,5087.17,2532.48,1188.8,1254.92,2577.06,3489.49,1654,3226.91,1484.91,2952.58,2244.89,1737,2060.93,2165.11,4218.93,2339.06,2454.61,2012.81,2422.86,4255.54,2454.6
"GZMK",985.21,1141.09,1055.13,813.54,726.88,457.53,760.63,553.69,341.58,520.36,734,830.08,740.77,451.67,436.43,685.35,1044.99,824.22,316.87,380.34,987.41,3591,1481.08,1198.89,2223.41,2655.39,1414.82,3390.23,967.81,908.6,2064.21,1517.35,1012.46,474.75,1563.24,431.8,281.9,900.84,869.44,1859.34,1938.99,874.54,729.78,2703.02,1820.74,1914.21,1607.92,1276.77,1317.29,2285.1,1433.71,1041.41,538.96,436.38,901.16,896.81,612.38,2029.66,521.43,994.92,1086.46,754.18,955.17,733.48,1760.2,774.44,892.74,714.1,675.65,1544.51,1081.62
"GZMM",40.4,58.95,41.53,24.45,36.92,20,29.26,34.51,20,20,32.28,43.63,34.39,20,28.76,38.58,165.33,85.08,20,71.96,41.47,136.43,53.69,56.81,66.72,30.31,20,131.21,114.21,61.18,174.61,105.28,62.7,55.2,78.02,50.8,74.18,133.72,89.89,55.19,34.04,26.53,163.17,92.45,39.44,20,46.98,24.13,35,97.7,38.44,20,20,32.79,54.18,29.86,45.29,20,30.53,51.21,25.63,25.03,28.49,20,58.69,34.63,58.4,45.12,51.89,45.09,47.03
"HAMP",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,76.03,20,20,20.57,26.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"HAVCR2",27.37,24.47,35.92,27.78,20,48.47,34.57,40.51,44.8,20,60.97,48.34,41.55,60.8,31.26,72.01,40.55,143.57,20,20,167.86,255.16,172.27,111.66,294.36,421.4,239.68,20,20,20,34.74,20,20,57.96,75.24,74.25,118.69,58.65,85.47,53.29,91.77,61.61,86.86,94.13,88.04,220.33,33.34,72.4,65.34,45.86,42.28,20,23.16,20,20,24.43,20,64.2,20,20,34.51,28.44,39.35,35.33,63.85,33.06,43.39,20,20,56.6,36.8
"HDAC4",58.64,131.24,86.43,137.81,86.53,147.34,132.98,169.56,160.52,132.32,126.72,163.89,90.27,198.33,151.31,218.59,310.38,338.55,428.27,382.4,128.36,135.39,151.02,122.44,206.05,93.8,193.12,138.5,140.83,180.5,92.33,127.79,166.03,466.47,270.29,494.32,359.79,396.46,331.57,73.27,222.02,135.2,156.67,82.37,92.97,176.79,68.2,105.73,140.01,97.7,78.8,135.74,164.92,160.18,110.16,100.45,163.43,83.45,150.2,73.16,90.7,108.07,82.76,101.75,89.65,83.43,76.76,74.55,65.42,79.62,71.56
"HFE",20,20,20,20,20,38.77,20,20,44.8,20,23.91,20,20,20,20,30.86,37.43,62.04,20,20,33.57,34.37,96.2,123.42,33.36,20,34.24,20,20,20,20,20,20,20,20,20,20,20,20,20,35.52,20,20,20,20,20,20,20,20,43.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.2,20,20,20,20,22.49
"HIF1A",216.33,281.38,182.96,245.62,230.76,213.25,216.75,225.08,181.06,228.96,272.56,332.5,236.42,256.24,248.85,300.89,238.63,411.23,309.44,252.87,731.67,319.73,561.56,430.97,540.64,381.71,1010.78,271.89,236.16,182.03,220.32,186.45,305.36,397.47,228.5,265.72,293.03,283.86,287.36,289.27,544.69,216.49,225.67,228.61,305.69,795.99,225.81,235.59,336.03,169.49,211.41,229.07,243.51,218.19,139.06,200.9,198.87,143.37,184.39,119.98,144.93,178.59,141.1,155.46,175.44,133.8,183.55,115.75,131.97,185.15,156.42
"HLA-A",33.88,382.59,213.27,600.15,1820.67,65.91,477.39,379.63,808.22,2615.18,81.29,523.52,250.75,1040.87,3951.66,108.01,2166.41,1226.59,3676.2,9526.99,950.87,987.32,1758.5,3989.46,2137.06,2425.21,576.61,20,20,517.01,1078.73,1191.86,1187.78,3607.57,30.65,2090.6,20,3807.46,3146.19,604.24,20,421.87,20,615.24,781.12,20,525.87,285,20,600.19,580.4,483.59,228.08,20,379.24,512.2,360.34,241.8,20,298.48,336.19,643.84,185.88,20,455.37,434.44,458.88,231.49,20,542.02,400.75
"HLA-B",4249.68,7258.04,2967.84,5888.13,3767.11,6548.82,10247.27,6027.6,9351.44,6574.39,7772.7,11563.32,4401.65,12179.23,8454.79,10039.81,30771.2,12290.69,27892.11,21595.07,8179.67,13431.87,12162.96,8112.12,16299.77,3464.28,10533.74,2877.07,2760.01,4487.92,8254.11,9590.3,8897.36,27060.94,5964.57,18616.1,8312.34,26307.36,22907.48,7877.91,3194.15,6407.56,3394.81,7685.45,9075.54,2502.06,6134.65,3392.46,1828.34,6871.25,6801.48,5414.93,2456.2,1382.3,4422.71,5659.57,3565.96,2348.5,912.19,3090.12,3172.62,6390.62,2059.58,1271.93,6194.56,4446.72,5011.01,2632.74,1201.28,5515.13,4498.23
"HLA-C",118.59,165.71,83.06,165.6,61.15,166.73,206.12,153.05,201.59,144.21,199.64,260.58,103.16,304.01,192.58,293.17,1006,423.63,1005.08,600.32,274.5,338.48,404.95,223.32,558.31,47.62,256.12,102.78,84.16,160.61,279.74,309.42,364.58,1037.83,190.88,556.84,248.52,846.88,761.86,183.65,177.62,159.16,133.94,142.88,179.61,92.31,157.61,81.59,80.51,121.63,151.83,144.23,65.97,42.88,99.33,105.88,80.73,73.83,41.52,62.91,71.97,149.02,63.77,52.29,138.03,91.3,115.14,56.89,67.68,130.47,103.25
"HLA-DMA",403.99,339.21,342.36,400.1,451.13,383.86,396.27,505.68,681.29,566.45,652.71,502.29,306.63,639.87,664.03,513.05,402.4,210.93,418.37,546.87,468.03,341.6,451.93,384.94,312.02,58.45,305.43,322.91,300.56,238.62,230.37,255.57,226.41,220.82,770.48,400.54,693.62,380.04,470.09,315.92,415.92,613.54,613.7,208.44,636.03,385.8,122.75,188.47,201.85,147.55,165.28,186.65,122.81,119.82,135.44,165.61,206.75,163.7,130.66,81.93,92.67,312.82,297.13,278.41,332.82,218.79,271.99,380.59,287.63,188.99,201.4
"HLA-DMB",117.29,115.67,76.33,126.7,121.15,124.07,97.07,135.05,192.26,212.6,148.23,161.54,121.79,209.91,208.84,136.3,262.03,140.03,314.4,407.07,341.64,178.09,238.27,174.35,196.24,20,98.61,221.59,212.97,159.08,200.2,225.83,229.89,171.13,692.45,246.18,363.5,302.63,305.04,110.38,128.77,172.85,401.82,115.99,259.9,122.8,39.4,37.92,50.17,43.87,48.05,63.63,20.35,20,45.15,47.96,116.17,59.92,45.18,20,29.58,81.9,66.48,63.6,101.26,59.81,108.46,121.63,73.32,67.15,81.79
"HLA-DOB",46.91,20,20,20,57.69,52.34,26.6,20,20,62.44,35.86,20,20,20,56.27,33.43,20,54.95,20,84.29,21.72,22.91,114.1,98.93,21.59,20,31.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.34,20,20,33.34,24.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.28,20,20,20,20,20,20,20,20
"HLA-DPA1",972.17,295.84,383.89,444.55,1056.87,876.28,369.68,546.19,502.1,1625.01,1407.02,426.83,421.25,561.7,1818.26,1230.55,591.12,196.75,381.24,1607.71,249.81,365.56,408.3,1041.2,236.47,241.01,202.7,271.16,256.77,432.88,319.96,345.58,274.01,292.58,734.25,986.68,408.01,490.3,773.65,479.58,310.83,1299.82,534.95,363.09,729.71,202.05,112.15,424.06,196.02,235.29,236.39,218.46,199.3,165.22,122.8,189.13,252.04,482.54,162.41,131.68,131.12,338.98,656.68,358.97,328.95,245.55,206.91,627.78,310.19,281.08,179.93
"HLA-DPB1",565.58,813,611.75,669.06,786.88,513.75,843.08,825.29,1028.47,801.36,643.14,791.17,522.98,871.5,922.89,477.05,1584.65,840.18,1401.17,2101.12,1294.49,1124.79,1466.54,1009.85,1121.52,91.64,506.76,1351.43,1113.79,587.38,1429.77,1401.62,959.05,742.49,2601.23,1187.93,1424.34,1440.41,1765.4,613.75,484.01,723.93,1830.54,561.45,1219.93,398.87,328.86,217.2,255.52,422.72,392.06,375.42,104.56,175.31,301.59,442.52,472.57,285.67,275.98,222.39,179.43,429.98,356.83,407.02,601.78,476.94,669.14,470.83,445.54,507.48,486.63
"HLA-DQA1",263.24,410.39,279.5,296.74,431.52,145.4,234.04,201.07,139.99,272.07,203.22,142.67,127.52,149.11,232.6,140.16,221.48,191.43,128.73,306.33,112.56,108.31,118.58,134.19,105.97,35.36,143.81,203.37,225.85,130.02,282.48,317.45,202.03,132.49,78.02,66.43,126.11,206.44,178.31,72.32,57.73,53.91,99.04,139.52,103.54,40.06,130.33,80.44,101.51,241.27,169.12,303.3,78.6,206.84,305.2,323.07,226.44,74.9,157.53,150.7,147.88,220.68,208.94,228.95,182.53,173.15,285.34,151.06,250.41,174.6,248.42
"HLA-DQB1",161.59,169.05,159.39,147.81,164.99,116.32,172.87,160.56,209.05,205.17,147.04,150.92,113.19,165.03,188.83,111.87,218.36,134.71,212.9,293.99,165.88,153.1,192.41,127.33,159.94,23.81,79.44,153.8,139.98,102.48,160.9,180.83,104.5,110.41,299.55,148.49,163.21,185.33,238.73,125.61,97.69,157.45,237.85,149.61,273.99,101.89,71.23,59.76,73.51,97.7,92.25,93.32,35.09,52.97,93.91,114.02,98.45,62.06,51.29,67.3,62.11,112.62,80.05,101.75,141.9,110.18,120.14,127.52,101.52,122.79,122.68
"HLA-DRA",5602.38,5666.52,5418.22,7896.41,8939.52,5839.26,7995.96,10479.66,12522.71,12860.35,9720.06,10898.32,7510.89,13412.64,15142.6,7631.44,7748.56,4514.62,8642.17,12491.59,15115.2,9245.15,12592.52,8677.29,9090.86,1266.36,7842.44,5614.18,6148.62,3746.05,5599.34,5839.53,5760.12,4512.92,16255.23,7135.39,11528.22,8328.08,9011.21,7391.67,7750.03,8779.58,11490.57,4995.88,14637.07,8124.52,2015.59,2227.17,2878.44,2711.81,3259.48,2748.82,1049.15,1743.01,2410.91,2807.16,5905.19,3143.46,2687.73,2011.79,2267.57,7157.32,3689.06,4642.55,6654.45,4289.32,5673.47,4637.69,4594.18,4768.78,4365.32
"HLA-DRB1",1490.84,2307.76,1819.54,2684,1945.28,1919.28,3035.88,2658.93,4001.89,3125.14,2199.59,3091.57,2228.05,3662.6,3538.98,1958.33,2058.8,1090.1,2411.19,2978.98,1592.68,1580.95,2154.5,1649.46,2032.07,432.22,2133.87,2070.15,1655.66,977.43,2218.71,2050.99,1440.9,1520.87,4601.96,2080.83,3212.18,2587.57,2926.62,2877.5,2143.25,2687.79,3485.73,2144.93,4309.21,2022.2,1080.54,984.87,1176.11,1345.93,1441.4,1327.75,407.73,882.86,1211.78,1298.61,1815.47,987.55,815.72,722.78,729.57,1572.06,1252.3,2006.83,2346.5,1893.6,1727.07,1422.3,1700.96,1793.93,1495.66
"HMGB1",36079.92,16444.6,33766.52,30578.71,28334.63,26117.72,24829.62,36894.87,26648.79,29508.92,29494.9,23256.35,33864.93,26757.24,25838.33,15855.65,12050.2,17326.43,14021.56,12179.09,12535.11,6788.32,10014.06,8601.87,4752.95,6295.01,8251.96,15869.43,23945.28,49062.69,14251.12,11632.45,27016.01,20243.26,8133.88,19573.48,6424.35,9015.44,7810.2,9577.38,6475.62,13859.08,4449.3,8186.38,5330.51,5577.17,10511.35,14222.6,6893.33,7680.8,5146.75,11198.91,16972.33,10220.96,8655.81,6256.83,46473.6,28449.49,29972.88,47037.94,34776.62,62361.47,45948.38,42195.66,24302.88,31860.58,52279.36,32779.71,41955.58,43936.85,43776.93
"HMGB2",225.45,318.08,253.68,245.62,160.38,195.81,250,223.58,194.12,168,193.66,226.39,192,178.06,162.57,263.6,305.7,437.81,460.45,363.89,1160.2,925.87,1021.32,871.74,1235.34,994.33,1201.16,254.39,177.76,220.27,248.66,226.64,258.92,264.98,273.08,326.29,244.81,511.41,309.46,318.77,390.76,352.55,701.37,551.36,450.78,762.03,318.25,525.19,572.89,281.15,272.9,269.37,877.21,438.91,243.8,305.87,498.17,449.37,378.55,324.81,280,201.34,208.94,265.69,258.64,176.29,205.25,127.52,259.43,255.18,210.6
"HMGN1",20,24.47,20,20,20,38.77,20,20,20,20,20,20,20,20,20,27,20,166.62,96.55,20,47.4,69.78,200.24,139.09,42.19,20,27.39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.49,20,20,20,20,20,20,20,20
"HRAS",36.49,36.7,50.51,20,39.23,20,33.24,51.02,20,29.73,37.06,45.98,61.61,34.74,40.02,39.86,56.15,47.86,20,20,73.07,66.65,48.1,46.04,83.4,95.25,72.59,34.99,35.21,36.71,38.4,40.99,29.03,20,40.4,20,20,63.34,58.94,49.48,59.21,58.19,47.08,68.92,73.25,67.06,59.1,40.22,40.84,55.83,74.95,42.42,32.98,20,39.73,37.1,20,39.59,39.08,30.73,30.56,20,29.85,20,39.99,20,20,20,40.61,41.25,35.78
"HSD11B1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.72,20,42.51,44.08,30.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"HSH2D",29.97,23.36,25.82,61.13,62.3,126.01,150.26,178.56,216.52,228.96,118.35,132.06,114.63,279.4,280.12,95.15,301.02,255.24,455.5,563.31,132.31,66.65,124.17,143.01,289.46,76.49,120.53,41.55,81.58,94.84,127.07,44.2,34.83,375.39,314.88,453.29,478.49,1006.41,278.51,57.09,131.73,98.41,113.65,121.03,37.33,85.35,60.62,90.79,89.84,111.66,61.5,80.6,97.55,40.36,95.71,39.82,39.38,41.73,24.42,40.97,20,35.26,36.63,46.64,92.23,44.07,38.38,41.2,28.2,75.79,27.6
"HSPB1",20,20,23.57,20,35.77,20,113.03,100.54,143.72,132.32,20,63.67,55.88,112.92,128.8,43.72,74.87,69.13,185.67,189.14,60.23,48.95,201.35,177.29,70.65,82.98,39.72,20,20,20,48.45,20,20,143.53,280.05,136.77,77.89,330.78,160.62,40.92,94.73,47.92,34.91,82.37,46.49,86.22,36.37,36.77,23.34,71.78,67.27,20,28.77,25.22,84.88,33.48,53.16,26.75,20,20,20,29.58,33.92,20,82.56,20,20,43.16,20,60.44,23.51
"HSPB2",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34.31,46.09,20,41.12,20,20,33.56,26.45,27.47,20,20,20,20,20,20,20,24.38,20,27.87,20,20,20,20,20,34.04,20,20,52.11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ICAM1",53.43,73.4,52.76,143.37,91.15,94.99,93.08,93.03,167.99,112.99,90.85,87.25,110.33,166.48,128.8,160.73,180.92,210.93,282.21,162.42,261.66,145.81,239.39,176.31,385.61,254.72,225.99,132.66,174.33,185.08,114.27,94.83,117.27,124.21,210.38,222.74,233.68,157.18,173.89,112.28,170.22,131.78,249.21,67.24,166.93,225.56,63.65,82.74,106.18,61.81,88.41,50.9,128.42,113.51,70.43,66.06,151.62,86.66,211.26,80.47,77.89,58.01,100.4,187.96,90.3,88.15,120.14,105.94,177.09,64.27,60.32
"ICAM2",301.04,580.55,478.18,443.44,481.13,517.62,664.89,703.75,500.24,655.65,437.53,708.63,495.76,460.36,567.74,401.18,625.44,490.99,435.7,635.27,322.88,423.88,318.81,264.46,476.87,316.05,368.43,675.71,541.87,408.41,585.07,577.04,342.52,375.39,665.98,402.49,482.2,757.74,742.71,432.01,442.56,394.48,528.46,677.44,502.91,325.71,430.4,405.67,477.21,580.25,590.01,458.14,402.11,490.62,530.94,470.57,407.59,215.06,315.05,359.93,378.59,302.58,240.15,409.84,370.23,302.22,258.64,306.04,376.74,277.24,341.46
"ICAM3",145.96,282.49,133.58,293.41,176.53,145.4,202.13,186.06,181.06,173.95,158.99,248.79,108.9,257.68,191.33,210.88,820.4,670.01,953.09,906.65,614.17,470.75,629.79,539.7,824.21,86.59,228.73,360.82,414.77,400.76,328.19,511.14,626.98,855.66,805.31,834.29,945.85,1278.54,608.61,130.36,315.27,219.06,422.12,171.46,140.17,246.46,121.24,114.92,135.35,171.48,188.34,108.17,73.69,84.5,137.25,108.59,86.64,83.45,70.83,55.6,64.08,118.3,84.12,110.23,144.48,100.74,138.5,160.87,103.77,123.75,112.46
"ICAM4",261.94,88.97,226.74,378.98,96.92,221.01,130.32,264.09,371.44,95.15,147.04,73.1,233.55,322.83,67.53,154.3,102.94,232.2,497.59,123.35,432.48,80.19,161.08,78.36,154.05,21.65,54.78,103.51,861.32,567.49,106.96,74.74,376.19,320.18,94.74,185.61,430.27,49.26,78.1,47.58,20,33.37,131.51,20,20,33.09,39.4,31.03,79.34,20,20,74.24,143.86,353.14,63.21,21.72,494.23,186.17,1329.82,374.56,212.95,230.92,187.23,672.71,105.78,105.46,393.81,258.96,847.1,155.41,118.59
